tconst,primaryTitle,averageRating,directors,genres,actor,languages
tt0000005,Blacksmith Scene,6.2,nm0005690,"Comedy,Short","Charles Kayser, John Ott",en
tt0000007,Corbett and Courtney Before the Kinetograph,5.4,"nm0005690,nm0374658","Short,Sport",Peter Courtney,ja
tt0000014,The Waterer Watered,7.1,nm0525910,"Comedy,Short","François Clerc, Benoît Duval","sv, ja"
tt0000121,The Soldier's Courtship,4.2,nm0609678,"Comedy,Short","Alfred Moul, Julie Seale",sr
tt0000417,A Trip to the Moon,8.2,nm0617588,"Action,Adventure,Comedy",Victor André,"sk, sv, ja, cmn, en, cs, fr, tr"
tt0000439,The Great Train Robbery,7.3,nm0692105,"Action,Adventure,Crime",Frank Hanaway,"ja, fr, en, fa"
tt0000447,Life of an American Fireman,6.4,"nm2092030,nm0692105","Action,Short",Vivian Vaughan,"ja, bg"
tt0000574,The Story of the Kelly Gang,6.0,nm0846879,"Action,Adventure,Biography","Bella Cola, Sam Crewes, W.A. Gibson, Vera Linden, Charles Tait, E.J. Tait, Elizabeth Tait, Frank Tait, John Tait, Nevin Tait, Ollie Wilson",en
tt0000618,Salaviinanpolttajat,8.9,"nm0700930,nm0817086","Comedy,Short",Louis Sparre,"sv, en"
tt0000637,The Assassination of the Duke de Guise,5.5,"nm0130633,nm0494039","Drama,History,Short",Émile Bertin,"sr, bg, ja"
tt0000754,Romeo and Juliet,7.2,nm0085865,"Drama,Romance,Short",Josephine Atkinson,ja
tt0000770,The Taming of the Shrew,5.4,nm0000428,"Comedy,Romance,Short",Charles Moler,bg
tt0000941,Locura de amor,4.5,"nm0063413,nm0550220",Drama,"Elvira Fremont, Amelia de la Mata",en
tt0000950,Macbeth,4.6,nm0143333,"Drama,Short",Amleto Palormi,bg
tt0000971,The Mill,6.3,nm0532622,"Drama,Romance,Short","Pitje Ambreville, Berryer, Mademoiselle Saunières",qbn
tt0001440,Valdemar Sejr,4.7,nm0375839,"Drama,History",Karen Rich,en
tt0001964,The Traitress,5.9,nm0300487,Drama,Françoise Arnaud,sv
tt0002026,Anny - Story of a Prostitute,4.5,nm0259235,"Drama,Romance","Johan Andersson, Olaf K. Bjerke, Ole Brun Lie, Adam Eriksen, Aagot Gundersen, Julie Jansen-Fuhr, Gunlaug Lund, Fru Zwinge, Waldemar Zwinge",en
tt0002101,Cleopatra,5.1,nm0309130,"Drama,History","Arthur Corbault, Mr. Corker, Miss Fielding, William Hemming, Mr. Osborne, Mr. Paul, Miss Robson, Paul Steinberg, Madame Stippange, Miss Winter",en
tt0002136,Departure of a Grand Old Man,5.6,"nm0698839,nm0858158","Drama,Short",Elizaveta Thiman,en
tt0002405,Oliver Twist,5.0,\N,Drama,"Lillian DeLesque, Frank Kendrick, Daniel Read, Frank Stafford, Agnes Stone, Louise White",bg
tt0002445,Quo Vadis?,6.1,nm0345500,"Drama,History",Olga Brandini,ja
tt0002452,The Independence of Romania,6.4,"nm0218404,nm0108345","History,War",Constantin Nottara,en
tt0002461,The Life and Death of King Richard III,5.7,"nm0130633,nm0443857",Drama,"Robert Gemp, Virginia Rankin","ja, en"
tt0002477,Specter of the Sea,6.7,nm0823150,"Drama,Horror,Short",Frau Retzlag,en
tt0002637,Arizona,7.2,nm0858501,Western,"Alma Bradley, Wong Ling",fr
tt0002646,Atlantis,6.5,nm0088881,Drama,Musse Kornbech,tr
tt0002801,The Black Diamond,5.5,nm0532622,\N,Hélène Lefèbvre,"qbn, fr, en"
tt0002999,The Ideal Wife,5.6,\N,"Comedy,Short",Marc Henry,en
tt0003015,Die Insel der Seligen,4.6,nm0718121,"Comedy,Fantasy","Erika De Planque, Gertrud Hackelberg, Arthur Kahane, Arthur Kathane, Werner Lotz",en
tt0003102,Love Everlasting,6.2,nm0143333,Drama,G. Monleone,sv
tt0003131,War Is Hell,6.6,nm0532622,"Drama,War","Baert, Suzanne Berni, Albert Hendrickx","en, qbn, sr"
tt0003311,Raja Harishchandra,5.9,nm0679610,"History,Short","Dattatreya Telang, Nath T. Telang","ja, en, cmn"
tt0003419,The Student of Prague,6.4,"nm0263912,nm0753233","Drama,Fantasy,Horror",Josef Weiss,"sv, ja, en"
tt0003442,Tess of the D'Urbervilles,5.2,nm0205986,"Drama,Romance","Mary Barker, Caroline Darling, Irma La Pierre, J. Liston","fr, en"
tt0003471,Traffic in Souls,6.0,nm0875869,"Crime,Drama","Adele Graham, Vera Hansey, Arthur Hunter, Laura McVicker, Jack Poulton, Arthur Stein",sv
tt0003637,Assunta Spina,6.2,"nm0784988,nm0078116",Drama,Amelia Cipriani,sv
tt0003651,Badehotellet,6.4,\N,Drama,Mitzi Mathe,sv
tt0003740,Cabiria,7.1,nm0665163,"Adventure,Drama,History","Augusto Battagliotti, Giuseppe Ferrari, Titus Livius, Manlio Mazza","bg, en, tr, ja"
tt0003839,Child of the Big City,6.5,nm0061955,"Drama,Short",Nina Kosljaninowa,en
tt0003871,The Eagle's Mate,5.2,nm0456804,Drama,R.J. Henry,fr
tt0003897,The Exploits of Elaine,6.2,"nm0309163,nm0782707,nm0923594,nm0923603",Action,Raymond Owens,ja
tt0003960,Loyalty,5.8,nm0532622,\N,"Flore Aldile, Germaine Kaisen, Yolande Maurel, Georges Mertens, M. Scott",qbn
tt0004066,Sealed Orders,6.8,nm0159725,"Drama,Mystery",Emil Dinesen,"bg, sv, en"
tt0004099,"His Majesty, the Scarecrow of Oz",5.4,nm0531759,"Adventure,Comedy,Family","James Patrick Doyle, Arthur Smollet",ja
tt0004150,In the Land of the Head Hunters,5.9,nm0193327,"Drama,History",Edmund August Schwinke,"fr, en"
tt0004207,The Last Egyptian,5.2,nm0531759,"Adventure,Drama,Romance",Ora Buckley,ja
tt0004313,The Master Key,5.4,nm0502752,"Action,Adventure,Drama",Edward A. Mills,ja
tt0004728,Trilby,4.3,nm0789748,Drama,Cicely Richards,fr
tt0004743,Uncle Tom's Cabin,5.6,nm0198523,Drama,"Master Abernathy, George L. Aiken, J.V. Ritchey",en
tt0004972,The Birth of a Nation,6.1,nm0000428,"Drama,History,War",Donna Montran,"tr, ca, fr, en, es, ja, sr, bg"
tt0005005,The Broken Coin,6.3,nm0285643,"Adventure,Mystery",W.C. Canfield,ja
tt0005061,Carmen,4.1,nm0909825,Drama,"Joseph P. Green, M.H. Morange, Fay Tunis, Edward Velasquez",ja
